"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","127","test_create_post[chromium]","tests_api","Sun May 03 15:29:45 UTC 2026","passed","Sun May 03 15:29:45 UTC 2026","","test_user_api","",""
"","1200","test_playwright_is_working[chromium]","tests.UI","Sun May 10 17:56:40 UTC 2026","passed","Sun May 10 17:56:41 UTC 2026","","test_ui_basic","",""
"","475","test_get_post_details[chromium]","tests.API","Sun May 10 17:56:34 UTC 2026","passed","Sun May 10 17:56:35 UTC 2026","","test_user_api","",""
"","82","test_get_post_details[chromium]","tests_api","Sun May 03 15:29:45 UTC 2026","passed","Sun May 03 15:29:45 UTC 2026","","test_user_api","",""
"","1819","test_successful_login[chromium]","tests","Sun May 03 15:29:41 UTC 2026","failed","Sun May 03 15:29:43 UTC 2026","","test_login","",""
"","1899","test_file_to_db_integration","tests","Sun May 10 17:56:41 UTC 2026","passed","Sun May 10 17:56:43 UTC 2026","","test_integration","",""
"","77","test_create_post[chromium]","tests.API","Sun May 10 17:56:35 UTC 2026","passed","Sun May 10 17:56:35 UTC 2026","","test_user_api","",""
"","352","test_hungarian_zip_code[chromium]","tests.API","Sun May 10 17:56:33 UTC 2026","passed","Sun May 10 17:56:33 UTC 2026","","test_finance_api","",""
"","0","test_successful_login[chromium]","tests.UI","Sun May 10 17:56:39 UTC 2026","broken","Sun May 10 17:56:39 UTC 2026","","test_login","",""
"","3157","test_full_flow_json_to_db_to_ui[chromium]","tests.UI","Sun May 10 17:56:36 UTC 2026","passed","Sun May 10 17:56:39 UTC 2026","","test_e2e_flow","",""
"","11","test_api_speed[chromium]","tests.API","Sun May 10 17:56:34 UTC 2026","passed","Sun May 10 17:56:34 UTC 2026","","test_finance_api","",""
"","944","test_playwright_is_working[chromium]","tests","Sun May 03 15:29:43 UTC 2026","passed","Sun May 03 15:29:44 UTC 2026","","test_ui_basic","",""
"","15","test_api_speed[chromium]","tests_api","Sun May 03 15:29:45 UTC 2026","passed","Sun May 03 15:29:45 UTC 2026","","test_finance_api","",""
"","7294","test_full_flow_json_to_db_to_ui[chromium]","tests","Sun May 03 15:29:34 UTC 2026","passed","Sun May 03 15:29:41 UTC 2026","","test_e2e_flow","",""
"","449","test_hungarian_zip_code[chromium]","tests_api","Sun May 03 15:29:45 UTC 2026","passed","Sun May 03 15:29:45 UTC 2026","","test_finance_api","",""
